
1960  55433  271 
1961  56158  181 
1962  56837  155 
1963  57389  186 
1964  57971  169 
1965  58619  147 
1966  59148  161 
1967  59268  459 
1968  59500  323 
1969  60067  179 
1970  60651  149 
1971  61302  185 
1972  61672  246 
1973  61976  273 
1974  62054  582 
1975  61829  1074 
1976  61531  1060 
1977  61400  1030 
1978  61327  993 
1979  61359  876 
1980  61566  889 
1981  61682  1272 
1982  61638  1833 
1983  61423  2258 
1984  61175  2266 
1985  61024  2304 
1986  61066  2228 
1987  61077  2229 
1988  61449  2242 
1989  62063  2038 
1990  63254  1883 
1991  64074  1689 
1992  64865  1808 
1993  65535  2270 
1994  65858  2556 
1995  66156  2565 
1996  66444  2796 
1997  66648  3021 

