1  1.75  2.60  3.76  3.68  2.95 
2  .90  2.47  2.44  3.43  2.31 
3  .80  .93  .40  2.27  1.10 
4  2.42  4.15  4.56  4.21  3.83 
4  -1.31 -1.31 -.66  -2.22 -1.38 
6  -1.56 1.67  .18  2.33  .66 
7  1.09  1.50  .52  2.33  1.36 
8  -1.92 1.03  .50  3.04  .66 
9  -1.61 .29  .73  3.24  .66 
10 2.47 3.64  2.87  5.38  3.59 
11 -.95 .41  .21  1.82  .37 
12 1.66 2.74  2.40  2.17  2.24 
13 2.07 4.92  4.46  4.71  4.04 
14 3.30 6.10  7.19  7.46  6.02 
15 2.75 2.53  4.28  5.93  3.87 
16 2.25 3.38  5.79  4.40  3.96 
17 2.08 1.74  4.12  3.62  2.89 
18 .14  .01  1.48  2.78  1.10 
19 .13  3.19  .60  3.14  1.77 
20 2.19 2.65  3.27  2.73  2.71 
21 -.64 -1.31 -.37  4.09  .44 
22 2.02 3.45  5.32  6.01  4.20 
23 2.05 1.80  3.91  2.49  2.56 
24 1.48 .47  3.63  3.88  2.37 
25 1.97 2.54  3.26  5.62  3.35 
26 1.35 4.63  3.54  5.24  3.69 
27 -.56 -.36  1.14  1.34  .39 
28 .26  .08  1.17  2.15  .92 
29 1.22 1.41  4.66  2.62  2.47 
30 -1.43 .80  -.03  1.04  .09 
31 -1.17 1.66 2.11 1.42  1.00 
32 1.68 1.71  4.07  3.30  2.69 
33 -.47 .93 1 .30  .76 . 63 
34 2.18 6.42  4.64  4.82  4.51 
35 4.21 7.08  6.00  5.65  5.73 
36 8.26 9.55  10.24 10.58 9.66 
37 1.24 4.90  2.42  2.54  2.78 
38 5.94 6.56  9.36  7.72  7.40 
39 .87  3.36  2.58  1.73  2.14 
40 -.09 2.29  3.08  3.35  2.15 
41 3.24 4.78  3.52  4.84  4.10 
42 1.03 2.10  3.88  2.81  2.45 
43 3.58 4.67  3.83  5.19  4.32 
44 1.41 1.75  3.70  3.77  2.66 
45 -.65 -.11  2.40  3.53  1.29 
46 1.52 3.04  2.74  2.63  2.48 
47 .57  2.71  1.90  2.41  1.90 
48 2.18 2.96  4.78  3.34  3.32 
49 1.10 2.65  1.72  2.96  2.11 
50 .15  2.69  2.69  3.50  2.26 
51 -1.27 1.26  .71  2.68  .85 
52 2.81 5.19  6.33  5.93  5.06 
53 2.62 3.54  4.86  5.80  4.21 
54 .11  2.25  1.56  3.92  1.96 
55 .61  1.14  1.35  .53  .91 
56 -2.19 -.42  1.54  1.16  .02 
57 1.55 2.42  1.11  2.18  1.82 
58 .04  .50  2.60  2.61  1.42 
59 3.10 2.00  3.92  3.91  3.24 
60 -.29 2.62  1.60  1.86  1.45 
61 2.28 3.39  4.91  3.89  3.62 
62 2.57 5.78  5.12  4.98  4.61 
63 -2.19 .71  1.56  2.31  .60 
64 -.04 2.44  1.79  2.64  1.71 
